Datetime,hr,spo2,stress_state,GSR(kohm),Features
15:55.9,95,96.2,1,696.52,Right Fall while Sitting
15:56.0,95,96.2,1,696.52,Right Fall while Sitting
15:56.2,95,96.2,1,699.34,Right Fall while Sitting
15:56.4,95,96.2,1,705.0,Right Fall while Sitting
15:56.5,95,96.2,1,702.16,Right Fall while Sitting
15:56.6,95,96.2,1,705.0,Right Fall while Sitting
15:56.7,97,96.2,1,705.0,Right Fall while Sitting
15:56.8,97,96.2,1,707.85,Right Fall while Sitting
15:57.0,97,96.2,1,710.7,Right Fall while Sitting
15:57.1,97,96.2,1,710.7,Right Fall while Sitting
15:57.3,99,96.2,1,710.7,Right Fall while Sitting
15:57.4,99,96.2,1,713.57,Right Fall while Sitting
15:57.5,99,96.2,1,707.85,Right Fall while Sitting
15:57.6,99,96.2,1,705.0,Right Fall while Sitting
15:57.7,99,96.2,1,702.16,Right Fall while Sitting
15:57.8,101,96.2,1,696.52,Right Fall while Sitting
15:58.0,101,96.2,1,688.12,Right Fall while Sitting
15:58.3,103,96.2,1,682.57,Right Fall while Sitting
15:58.4,103,96.2,1,679.8,Right Fall while Sitting
15:58.5,103,96.2,1,679.8,Right Fall while Sitting
15:58.6,103,96.2,1,682.57,Right Fall while Sitting
15:58.7,103,96.2,1,682.57,Right Fall while Sitting
15:59.0,105,96.2,1,679.8,Right Fall while Sitting
15:59.2,105,96.2,1,671.57,Right Fall while Sitting
15:59.3,105,96.2,1,666.12,Right Fall while Sitting
15:59.3,105,96.2,1,666.12,Right Fall while Sitting
15:59.4,108,96.2,1,660.71,Right Fall while Sitting
15:59.6,108,96.2,1,650.0,Right Fall while Sitting
15:59.7,108,96.2,1,647.34,Right Fall while Sitting
15:59.9,108,96.2,1,647.34,Right Fall while Sitting
16:00.0,110,96.2,1,650.0,Right Fall while Sitting
16:00.1,110,96.2,1,650.0,Right Fall while Sitting
16:00.3,110,96.2,1,666.12,Right Fall while Sitting
16:00.3,110,96.2,1,666.12,Right Fall while Sitting
16:00.4,111,96.2,1,666.12,Right Fall while Sitting
16:00.6,111,96.2,1,668.84,Right Fall while Sitting
16:00.7,111,96.2,1,674.3,Right Fall while Sitting
16:00.9,111,96.2,1,682.57,Right Fall while Sitting
16:01.0,114,96.2,1,685.34,Right Fall while Sitting
16:01.1,114,96.2,1,685.34,Right Fall while Sitting
16:01.3,114,96.2,1,690.91,Right Fall while Sitting
16:01.3,114,96.2,1,690.91,Right Fall while Sitting
16:01.4,115,96.2,1,693.71,Right Fall while Sitting
16:01.6,115,96.2,1,699.34,Right Fall while Sitting
16:01.7,115,96.2,1,699.34,Right Fall while Sitting
16:02.0,116,96.2,1,705.0,Right Fall while Sitting
16:02.1,116,96.2,1,705.0,Right Fall while Sitting
16:02.2,116,96.2,1,705.0,Right Fall while Sitting
16:02.3,117,96.2,1,705.0,Right Fall while Sitting
16:02.5,117,96.2,1,710.7,Right Fall while Sitting
16:02.6,117,96.2,1,710.7,Right Fall while Sitting
16:02.7,117,96.2,1,710.7,Right Fall while Sitting
16:02.9,117,96.2,1,713.57,Right Fall while Sitting
16:03.0,117,96.3,1,710.7,Right Fall while Sitting
16:03.1,117,96.3,1,710.7,Right Fall while Sitting
16:03.2,117,96.3,1,713.57,Right Fall while Sitting
16:03.3,117,96.3,1,713.57,Right Fall while Sitting
16:03.6,117,96.4,1,716.44,Right Fall while Sitting
16:03.7,117,96.4,1,716.44,Right Fall while Sitting
16:03.9,117,96.4,1,713.57,Right Fall while Sitting
16:04.0,116,96.4,1,713.57,Right Fall while Sitting
16:04.1,116,96.4,1,710.7,Right Fall while Sitting
16:04.2,116,96.4,1,710.7,Right Fall while Sitting
16:04.3,116,96.4,1,707.85,Right Fall while Sitting
16:04.4,116,96.4,1,702.16,Right Fall while Sitting
16:04.6,116,96.4,1,685.34,Right Fall while Sitting
16:04.7,116,96.4,1,685.34,Right Fall while Sitting
16:04.9,116,96.4,1,679.8,Right Fall while Sitting
16:05.0,115,96.4,1,679.8,Right Fall while Sitting
16:05.1,115,96.4,1,679.8,Right Fall while Sitting
16:05.2,115,96.4,1,679.8,Right Fall while Sitting
16:05.3,115,96.4,1,679.8,Right Fall while Sitting
16:05.5,115,96.4,1,682.57,Right Fall while Sitting
16:05.5,115,96.4,1,682.57,Right Fall while Sitting
16:05.7,115,96.4,1,688.12,Right Fall while Sitting
16:05.9,115,96.4,1,685.34,Right Fall while Sitting
16:06.0,115,96.4,1,688.12,Right Fall while Sitting
16:06.1,115,96.4,1,688.12,Right Fall while Sitting
16:06.3,114,96.4,1,685.34,Right Fall while Sitting
16:06.5,114,96.4,1,682.57,Right Fall while Sitting
16:06.6,114,96.4,1,679.8,Right Fall while Sitting
16:06.8,113,96.5,1,671.57,Right Fall while Sitting
16:14.3,110,96.8,1,685.34,Forward Fall while Sitting
