Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:40.2,703,376,564,735,285,2.59,386.18,1.39,117.08,281,770,125.59,778,15773,20093,1549,1.01,-0.05,0.1,0.99,-0.85,-1.04,-3.64,-82.22,-8.17,-3.89,-1.02,-7.99,-7.03,Standing
12:40.3,361,376,564,735,284,2.6,384.3,1.39,117.08,281,780,125.59,778,15773,38669,2329,1.01,-0.06,0.09,3.02,3.36,-0.14,-3.99,-82.32,-7.81,-3.76,-0.95,-7.66,-6.9,Standing
12:40.4,365,375,562.5,735,285,2.59,386.18,1.39,117.08,281,779,125.59,778,15773,55686,3108,1.02,-0.06,0.07,-4.83,-6.18,1.89,-4.01,-83.18,-8.24,-4.57,-0.69,-8.07,-7.72,Standing
12:40.5,390,376,564,735,286,2.58,388.06,1.4,117.08,281,778,125.59,778,15773,71146,3886,1.03,-0.08,0.09,-2.47,5.24,-2.98,-4.91,-81.68,-8.43,-4.25,-0.9,-8.29,-7.35,Standing
12:40.6,439,377,565.5,735,286,2.58,388.06,1.4,117.08,281,779,125.59,778,15773,88163,4665,1.01,-0.07,0.12,-5.19,1.57,-5.93,-4.27,-80.87,-8.9,-4.3,-1.42,-8.71,-7.36,Standing
12:40.7,335,376,564,735,286,2.58,388.06,1.4,117.08,281,783,125.59,778,15773,111428,5448,0.98,-0.08,0.08,-4.67,-9.21,-2.65,-4.99,-82.15,-9.3,-5.41,-1.61,-9.13,-8.48,Standing
12:40.8,331,375,562.5,735,287,2.56,389.95,1.4,117.08,281,774,125.59,778,15773,120680,6222,0.99,-0.06,0.1,-3.92,-0.04,-3.61,-4.08,-81.81,-9.64,-5.61,-1.89,-9.42,-8.66,Standing
12:40.9,403,376,564,735,288,2.55,391.84,1.41,117.08,281,776,125.59,778,15773,133032,6998,1,-0.04,0.1,-0.49,0.77,2.95,-2.97,-82.19,-9.63,-5.73,-1.51,-9.37,-8.79,Standing
12:41.0,445,377,565.5,735,289,2.54,393.73,1.41,127.52,286,776,120.57,777,14537,0,0,1.02,-0.07,0.08,-2.17,-3.56,2.15,-4.52,-82.52,-9.79,-6.28,-1.22,-9.58,-9.33,Standing
12:41.1,487,378,567,735,289,2.54,393.73,1.41,127.52,286,776,120.57,777,14537,12352,776,1.02,-0.08,0.07,-0.4,3.53,0.9,-5.15,-82.39,-9.78,-6.13,-1.05,-9.59,-9.18,Standing
12:41.2,391,378,567,735,289,2.54,393.73,1.41,127.52,286,775,120.57,777,14537,23153,1551,1.05,-0.08,0.07,-3.02,5.05,-3.5,-4.96,-82.48,-10.02,-5.82,-1.33,-9.82,-8.89,Standing
12:41.3,268,377,565.5,735,290,2.53,395.63,1.42,127.52,286,778,120.57,777,14537,38613,2329,1.03,-0.08,0.07,-1.98,6.64,-8.41,-5.06,-82.58,-10.16,-5.36,-2.09,-9.96,-8.45,Standing
12:41.4,261,375,562.5,735,290,2.53,395.63,1.42,127.52,286,775,120.57,777,14537,49414,3104,1,-0.05,0.08,-2.83,0.83,-7.76,-3.21,-82.99,-10.39,-5.48,-2.79,-10.1,-8.58,Standing
