Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features,
11:20.1,440,486,729,692,444,1.3,766.84,2.17,20724.3,443,172,173.4,173,30067,88752,516,1.01,0.03,0.09,-2.81,2.18,-2.19,0.84,-83.22,-12.48,-8.21,-5.25,-11.95,-11.21,Standing,
11:20.2,455,485,727.5,692,443,1.31,763.79,2.17,20724.3,443,171,173.4,173,30067,117993,687,1.01,0.02,0.1,-0.88,1.76,-1.79,0.82,-82.76,-12.52,-8.24,-5.34,-11.98,-11.22,Standing,
11:20.3,448,485,727.5,692,444,1.3,766.84,2.17,20724.3,443,175,173.4,173,30067,148618,862,1.01,0.03,0.1,-2.49,-0.25,-0.76,1.37,-82.58,-12.71,-8.46,-5.34,-12.14,-11.43,Standing,
11:20.4,428,484,726,692,443,1.31,763.79,2.17,20724.3,443,174,173.4,173,30067,178894,1036,0.99,0.03,0.1,-2.29,2.24,-0.59,0.93,-82.75,-12.88,-8.44,-5.32,-12.33,-11.41,Standing,
11:20.5,431,484,726,692,444,1.3,766.84,2.17,20724.3,443,174,173.4,173,30067,209170,1210,1,0.03,0.1,-1.59,1.82,-3.18,0.93,-82.63,-12.99,-8.46,-5.56,-12.43,-11.42,Standing,
11:20.6,462,483,724.5,692,443,1.31,763.79,2.17,20724.3,443,171,173.4,173,30067,238411,1381,1.01,0.03,0.09,-2.94,0.42,-2.01,1.01,-82.81,-13.23,-8.61,-5.68,-12.66,-11.58,Standing,
11:35.9,415,415,622.5,415,443,1.31,763.79,2.17,0,0,149,0,0,0,45002,300,0.98,0.17,0.14,-3.59,-1.85,-2.64,9.16,-75.69,-0.38,-0.36,-0.25,0,-3.37,Left Fall while Standing,
11:36.0,414,414,621,415,443,1.31,763.79,2.17,0,0,149,0,0,0,67203,449,0.98,0.17,0.13,-5.6,-3.09,-6.43,9.12,-76.14,-0.87,-0.85,-0.8,-0.47,-3.86,Left Fall while Standing,
11:36.1,423,417,625.5,423,443,1.31,763.79,2.17,0,0,149,0,0,0,89404,598,0.99,0.17,0.13,-0.62,-3.74,-11.33,9.17,-76.14,-0.87,-1.41,-1.82,-0.47,-4.4,Left Fall while Standing,
11:36.2,454,426,639,454,443,1.31,763.79,2.17,0,0,149,0,0,0,111605,747,1,0.19,0.11,-7.93,-9.98,-12.9,9.9,-76.26,-1.6,-2.58,-3.01,-1.14,-5.53,Left Fall while Standing,
11:36.3,452,431,646.5,454,444,1.3,766.84,2.17,0,0,149,0,0,0,133806,896,1.02,0.2,0.13,-2.93,0.89,-16.69,10.66,-75.13,-1.83,-2.69,-4.57,-1.33,-5.59,Left Fall while Standing,
11:36.4,498,442,663,498,444,1.3,766.84,2.17,0,0,149,0,0,0,156007,1045,0.99,0.21,0.11,-7.4,-14.63,-16.54,11.49,-74.92,-2.5,-4.32,-6.11,-1.94,-7.14,Left Fall while Standing,
11:36.5,504,451,676.5,504,444,1.3,766.84,2.17,0,0,149,0,0,0,178208,1194,0.94,0.27,0.07,-6.48,-8.95,-19.91,15.32,-71.96,-3.08,-5.39,-7.98,-2.34,-8.06,Left Fall while Standing,
